index,full.name,ip.address,region,in.store,age,items,amount
55,Ellan Ortiz,163.24.154.108,4,1,26,1,1448.6
56,Lenita Stracke,158.227.218.90,1,1,36,7,96.541
57,Brady Koch,,4,0,53,5,2952.8
58,Chris Cormier,109.116.48.227,1,1,22,2,1008.2
59,Tawnya Metz,,2,0,66,1,65.619
60,Corey Bailey,,4,0,30,1,1046.9
61,Alex Stracke,,2,0,39,7,221.3
62,Art Batz,167.96.107.124,1,1,27,4,961.23
63,Katherin Heaney,,2,0,38,1,336.44
64,Robbie Will,,2,0,69,4,213.62
65,Natashia Marvin,,2,0,81,4,324.98
66,Reid Kirlin,55.94.207.55,1,1,26,4,200.27
67,Laveta Aimonetti,,2,0,65,2,204.67
68,Darla Hartmann,,2,0,35,2,168.86
69,Herb Blanda,208.5.237.100,3,1,61,7,240.27
70,Kimi Ernser,24.26.246.53,4,1,44,4,1143.4
71,Rod Padberg,,3,0,62,7,2591.3
72,Maxwell Greenholt,9.66.37.152,4,1,51,2,1656.4
73,Florencio Leffler,162.108.63.82,3,1,49,4,172.17
74,Ester Lakin,,2,0,78,6,469.96
75,Calandra McClure,99.238.99.251,1,1,40,2,748.35
76,Johnsie O'Reilly,,2,0,30,4,46.862
77,Katelynn Hane,101.230.218.52,3,1,38,5,91.63
78,Cristobal Gulgowski,,2,0,29,3,39.771
79,Ruthie Hackett,146.169.213.122,4,1,44,3,1123.5
80,Octavio Feeney,,2,0,47,3,13.577
81,Max Brown,163.78.108.91,4,1,41,1,1355.9
82,Brandon Keebler,,4,0,59,2,1299.2
83,Lizabeth Goyette,26.106.124.53,3,1,42,7,698.67
84,Gaylord Considine,78.120.142.33,1,1,26,4,803.38
85,Thomas Yundt,88.9.81.63,4,1,28,2,1057.0
86,Christa Denesik,64.170.241.245,1,1,45,3,532.4
87,Laine Skiles,39.161.202.14,3,1,53,2,500.85
88,Perry McGlynn,,4,0,20,5,991.58
89,Milford O'Reilly,,2,0,34,2,125.63
90,George Haag,,4,0,24,4,1875.2
91,Antony Bergnaum,117.61.111.201,1,1,53,2,917.28
92,Ava Mertz,57.48.129.134,1,1,44,2,1254.8
93,Harris Oberbrunner,90.52.48.245,1,1,55,2,1288.1
94,Grant Stanton,151.55.75.114,1,1,67,7,136.97
95,Eddy Schumm,,2,0,58,4,165.28
96,Latina Schamberger,133.71.98.46,1,1,19,7,1995.0
97,Stanton Jerde,,2,0,80,1,13.109
98,Vince Stokes,,2,0,58,7,200.31
99,Mason Nolan,,2,0,73,5,34.782
100,Lorean Moore,124.166.238.189,1,1,38,6,368.29
101,Ginger Casper,,4,0,62,5,1606.0
102,Lenore Glover,30.132.12.31,1,1,67,5,59.912
103,Franklin Hackett,149.178.231.112,4,1,31,4,1038.0
104,Shawnta Keebler,52.143.61.12,3,1,36,4,701.57
105,Chris Bruen,,2,0,48,7,86.411
106,Victor Crooks,64.8.188.23,4,1,26,8,199.46
107,Cheryl Lesch,,2,0,32,3,122.55
108,Rudolf Jakubowski,169.126.87.68,4,1,28,2,822.56
109,Ulrike Heathcote,,2,0,42,2,449.55
110,Wilton Labadie,194.139.214.17,3,1,25,6,106.33
111,Bert Nolan,,4,0,54,7,670.42
112,Christian Ward,151.236.74.8,3,1,74,2,673.84
113,Chi Hermann,,2,0,65,8,315.94
114,Isaac Corwin,,4,0,49,3,528.32
115,Alfred Jacobson,11.20.198.25,3,1,52,6,625.5
116,Leon Beahan,,4,0,30,7,795.12
117,Preston Cartwright,252.139.242.151,1,1,32,4,659.64
118,Donnell Gerlach,53.37.231.141,1,1,48,2,750.05
119,Luna Wuckert,62.39.164.9,3,1,34,6,394.5
120,Phylicia Sipes,,2,0,69,3,397.26
121,Darryl Conroy,,3,0,44,2,2795.0
122,Forrest Stroman,,2,0,45,7,453.65
123,Caridad Predovic,122.243.46.12,1,1,36,8,813.28
124,Sana Dibbert,255.187.250.139,1,1,26,3,1352.4
125,Stuart Hauck,,2,0,54,8,199.06
126,Lynetta Gleichner,,2,0,57,3,288.67
127,Gary Hartmann,,2,0,50,7,491.04
128,Toney Simonis,12.181.156.99,3,1,34,5,248.07
129,Winford Shields,213.13.176.96,4,1,22,6,1038.8
130,Misty Aufderhar,,2,0,30,5,168.86
131,Harland Bogisich,165.236.252.152,3,1,70,2,888.08
132,Kurt Hermann,,4,0,39,2,2065.2
133,Elliott Nolan,,4,0,26,8,1552.9
134,Denny Terry,57.146.213.13,1,1,70,8,535.17
135,Josie O'Keefe,,2,0,45,2,238.33
136,Marquerite Cremin,,2,0,43,4,111.15
137,Lawrence Yundt,35.229.159.208,3,1,41,6,384.79
138,Charlie Towne,15.35.34.18,1,1,51,2,1037.0
139,Carletta Cartwright,236.201.238.138,1,1,46,5,142.84
140,Irene Thompson,91.8.205.157,1,1,56,4,345.49
141,Gayle Jewess,30.222.237.122,1,1,40,7,505.54
142,Kristen Mills,,4,0,33,7,2693.1
143,Freeman Cummerata,219.156.208.181,4,1,27,1,1938.1
144,Todd Labadie,135.103.181.254,1,1,26,6,59.045
145,Dallas Marvin,244.179.138.33,4,1,36,7,162.1
146,Julietta Padberg,,2,0,60,4,389.27
147,Kristofer Wilderman,14.141.31.236,1,1,26,7,917.57
148,Jesse Wiegand,,2,0,69,3,83.657
149,Jarvis White,184.99.83.41,4,1,49,5,1284.8
150,Ray Hodkiewicz,215.149.220.184,1,1,38,6,790.75
151,Delmer Boyer,53.165.202.120,3,1,66,4,713.9
152,Alphonso Bode,124.252.166.83,4,1,27,7,772.18
153,Jan Rolfson,,4,0,34,2,2627.4
154,Carlton Goyette,,2,0,73,3,273.66
155,Clarinda Paucek,,2,0,41,6,147.31
156,Armand Bartoletti,83.59.194.19,1,1,24,2,1700.7
157,Thanh Rosenbaum,,3,0,25,8,883.52
158,Timmy Buckridge,171.20.252.246,1,1,54,2,577.67
159,Lilla Hansen,103.145.40.29,3,1,70,6,233.45
160,Mozelle Nitzsche,,2,0,61,3,7.8557
161,Chelsey Heaney,,2,0,61,7,98.789
162,Israel Aimonetti,63.198.110.178,3,1,33,7,723.92
163,Lacy Ferry,82.108.218.170,3,1,64,5,157.97
164,Daren Jacobson,21.244.82.41,1,1,26,2,867.2
165,Julio Leffler,109.129.244.17,1,1,71,5,825.88
166,Matt Schinner,33.178.245.103,4,1,32,7,895.25
167,Christian Koss,,2,0,71,1,166.93
168,Malisa Williamson,135.181.143.83,3,1,47,2,147.64
169,Jefferson Williamson,247.172.139.21,4,1,29,5,1779.9
170,Keli Zulauf,4.65.84.17,4,1,55,2,1860.2
171,Rashad Kulas,,4,0,63,4,2478.8
172,Garry Dare,165.82.157.242,4,1,45,2,941.78
173,Santa Kris,,2,0,84,6,473.72
174,Modesta Douglas,,3,0,49,3,1438.1
175,Collene Grimes,23.1.217.242,1,1,49,1,1931.5
176,Maxwell Reilly,156.83.109.15,4,1,36,2,884.4
177,Quiana Bechtelar,228.86.165.222,4,1,35,4,295.24
178,Elene Robel,238.158.222.56,1,1,26,6,90.492
179,Antione Hirthe,46.26.93.183,1,1,46,7,876.99
180,Hayden Baumbach,,2,0,72,8,74.288
181,Carmelia Wolff,,4,0,49,2,151.92
182,Young Lang,,2,0,83,8,252.05
183,Dwain Barrows,67.145.29.99,3,1,27,5,138.97
184,Christine Rempel,55.204.50.240,3,1,73,7,881.48
185,Joseph Stark,,2,0,51,5,391.63
186,Andreas Funk,215.219.143.68,1,1,42,3,848.48
187,Justin Kris,,2,0,79,2,334.75
188,Kareem Block,,2,0,59,3,425.4
189,Brittni Becker,,2,0,70,3,396.39
190,Nathanael Sipes,,2,0,58,6,94.179
191,Camellia Haley,65.217.114.172,4,1,37,6,932.36
192,Earlean Rippin,20.250.130.204,3,1,54,6,635.85
193,Sherman Schaden,,3,0,18,7,1913.0
194,Sterling Russel,64.237.236.210,1,1,43,6,1816.6
195,Avery Wintheiser,79.46.234.234,1,1,28,4,346.6
196,Tanya Zulauf,231.88.225.71,4,1,23,1,787.04
197,Isiah Greenholt,,2,0,47,3,366.59
198,Troy Monahan,173.218.222.186,3,1,58,5,437.24
199,Cecile Reilly,,2,0,64,3,254.33
200,Ahmed McGlynn,72.254.67.194,1,1,40,8,483.71
201,Graciela Strosin,17.113.52.87,3,1,69,3,853.6
202,Marielle Bernhard,147.161.9.244,1,1,56,1,669.13
203,Elease Nicolas,243.1.232.156,1,1,65,4,386.28
204,Maddie Barrows,,2,0,30,2,460.76
205,Modesto Beahan,,2,0,37,7,358.55
206,Lynwood Luettgen,,4,0,19,8,960.17
207,Madge King,,3,0,56,6,2860.3
208,Mahalia Cartwright,,4,0,35,6,243.44
209,Herschel Marquardt,,4,0,32,3,553.64
210,Chris Klein,140.239.184.17,3,1,37,4,532.46
211,Daron Funk,121.62.223.46,3,1,31,6,440.51
212,Fidelia Reynolds,,2,0,53,3,358.4
213,Everette Keeling,,2,0,69,3,63.05
214,Providencia Wolf,204.227.203.68,3,1,38,3,473.53
215,Ta Bednar,151.106.75.217,4,1,20,8,1642.3
216,Elena Hane,66.103.97.80,1,1,28,3,759.93
217,Hang Kunde,,2,0,30,3,89.388
218,Angel Mohr,55.249.236.53,3,1,44,4,415.76
219,Scarlet Denesik,,4,0,36,6,1904.4
220,Yajaira Kessler,59.152.74.136,3,1,33,3,752.83
221,Ivan Jenkins,,2,0,56,8,299.8
222,Bradly Upton,64.37.87.107,4,1,44,6,1044.7
223,Wilda Stehr,,2,0,84,4,64.083
224,Claud Bartoletti,,3,0,28,6,1154.9
225,Victor Labadie,108.254.121.22,3,1,65,2,556.7
226,Tommie Grant,,2,0,58,3,393.68
227,Arminda Schultz,238.238.217.160,3,1,57,5,577.77
228,Adam Wyman,,4,0,32,2,2891.6
229,Edda Treutel,226.7.205.16,4,1,40,5,1147.6
230,Colby Willms,49.210.159.240,4,1,36,3,1961.8
231,Julius Littel,29.59.46.229,3,1,36,1,69.72
232,Samual Lebsack,,3,0,19,3,754.33
233,Agatha White,153.29.100.150,4,1,20,6,818.99
234,Debora Harris,,2,0,81,4,84.477
235,Cari Torphy,,4,0,48,4,1356.3
236,Sunday Pfeffer,,2,0,61,6,230.4
237,Orpha Langosh,246.26.97.45,1,1,48,2,1622.8
238,Gavin Schmeler,,2,0,44,4,190.12
239,Isaac Altenwerth,,4,0,20,3,2737.0
240,Vita Ziemann,,3,0,57,3,2039.6
241,Debora West,128.215.192.6,1,1,24,4,703.08
242,Leigh Lowe,,4,0,34,8,1485.6
243,Lolita Deckow,,4,0,31,2,542.04
244,Mathew White,,4,0,41,3,1881.8
245,Dan Boehm,,2,0,38,6,5.4862
246,Kaitlyn Hilpert,,2,0,36,4,71.569
247,Darrin Sporer,129.136.129.166,1,1,25,2,1703.1
248,Luella Kutch,,2,0,69,2,304.18
249,Ramon Torphy,172.127.44.133,4,1,46,6,1187.8
250,Lou Keebler,,2,0,29,6,477.39
251,Dimple Runolfsdottir,10.144.46.158,1,1,68,7,493.28
252,Zella Powlowski,,4,0,47,3,1510.5
253,Manuel Willms,170.224.32.132,4,1,53,4,1793.1
254,Bennett Toy,,3,0,36,4,2565.9
255,Lester Leannon,249.105.112.225,1,1,69,2,604.29
256,Deshawn Tillman,57.13.61.188,4,1,50,6,371.61
257,Emery Anderson,,3,0,53,5,2236.4
258,Zackary Casper,129.242.223.220,3,1,64,7,950.59
259,Beata Franecki,2.46.170.101,1,1,48,4,852.17
260,Irma Schinner,,3,0,57,5,2556.2
261,Cleveland Auer,,2,0,50,3,100.03
262,Marylyn Feeney,,3,0,43,4,230.41
263,Amos Nitzsche,181.118.123.179,4,1,54,1,1992.4
264,Kurtis Rutherford,42.228.204.222,3,1,70,4,371.37
265,Alecia Sanford,,4,0,18,6,1508.2
266,Santiago Mraz,,4,0,35,2,1864.3
267,Lashandra Leuschke,60.250.99.242,4,1,21,7,1191.2
268,Kristal Halvorson,54.195.51.222,1,1,68,7,405.51
269,Evelyn Abshire,143.8.193.93,4,1,28,7,944.58
270,Fletcher Schumm,100.97.248.79,1,1,42,4,380.73
271,Esta Cummings,89.66.119.143,1,1,49,6,975.6
272,Mitch Green,206.94.42.193,4,1,26,8,960.58
273,Laurie Kuhn,,4,0,48,6,1118.8
274,Lori Larson,,4,0,31,5,2303.1
275,Eric Schaefer,254.61.169.191,3,1,73,1,358.87
276,Reda Kertzmann,,4,0,48,2,2835.8
277,Theodora Wyman,228.59.250.47,1,1,54,5,331.86
278,Domitila Cormier,216.224.185.186,4,1,20,6,816.94
279,Samantha Welch,135.154.245.70,4,1,28,5,1492.5
280,Tom Legros,36.101.72.223,1,1,37,4,1787.0
281,Alfonso O'Keefe,,2,0,71,2,464.36
282,Enrique Gleason,,4,0,62,3,2599.5
283,Libbie Kreiger,85.201.107.130,4,1,27,6,1396.4
284,Farrah Batz,,2,0,33,8,372.3
285,Maira Vandervort,,4,0,23,7,227.54
286,Ebonie Volkman,,2,0,28,3,145.7
287,Freddie Carroll,39.199.23.19,1,1,73,1,587.95
288,Meghann Watsica,,2,0,41,3,107.98
289,Roland Bahringer,41.25.246.144,4,1,25,3,1972.2
290,Veda Kuphal,165.36.166.228,4,1,45,6,1751.8
291,Gus Emard,163.98.132.67,4,1,31,2,1955.8
292,Don Moen,174.214.150.174,4,1,39,1,479.09
293,Emilio Fay,,2,0,38,2,308.98
294,Usha VonRueden,,2,0,65,3,33.194
295,Florentino Hills,44.68.85.87,1,1,33,7,166.75
296,Clarence Mertz,,2,0,79,7,319.82
297,Lester Grant,47.252.98.22,4,1,37,7,1177.6
298,Elvis Ferry,15.17.21.240,1,1,45,2,491.12
299,Wen Weber,129.4.218.61,1,1,62,4,892.21
300,Oralia Gutmann,15.50.29.112,4,1,44,5,854.33
301,Jonathan Upton,225.223.208.193,4,1,52,1,1518.6
302,Luana Johnson,,3,0,51,2,232.97
303,Hank Luettgen,,2,0,56,5,35.122
304,Brad Corkery,112.14.127.39,3,1,47,5,338.95
305,Madge Abshire,233.206.20.229,1,1,42,5,710.63
306,Samual McKenzie,,2,0,83,6,141.47
307,Bok Braun,128.185.24.230,3,1,42,6,673.87
308,Loris Cassin,215.107.249.101,4,1,44,5,1723.2
309,Brenton Bradtke,,4,0,44,7,2744.4
310,Delilah Williamson,242.10.235.247,4,1,27,2,358.36
311,Amado Wyman,46.188.16.3,1,1,44,4,699.5
312,Maryrose Gislason,,4,0,48,7,2916.8
313,Vito Auer,,4,0,60,4,2721.3
314,Laquanda Raynor,101.184.69.219,4,1,35,2,923.18
315,Fernando Beahan,,2,0,53,1,231.81
316,Frieda Mills,,2,0,39,8,411.36
317,Waldo Goodwin,78.27.136.73,3,1,36,6,259.35
318,Jospeh Flatley,64.114.146.52,4,1,45,4,944.34
319,Donnie Predovic,11.170.70.37,4,1,37,3,1765.4
320,Carolina Monahan,183.194.47.166,4,1,32,4,975.31
321,Sabina Huel,173.219.44.169,1,1,54,2,599.89
322,Donette Krajcik,,2,0,41,5,290.4
323,Gilberto Koch,,4,0,31,8,867.73
324,Shawanda Huel,183.188.220.94,3,1,70,3,937.87
325,Erwin Crooks,60.40.103.1,1,1,65,7,947.68
326,Donald Lockman,,2,0,44,2,34.684
327,Hana Wyman,214.82.49.217,1,1,41,1,242.73
328,Everette Nikolaus,174.140.104.164,1,1,56,7,557.46
329,Claudie Smith,35.168.248.39,1,1,21,2,1552.6
330,Jani Sawayn,,2,0,56,1,258.86
331,Dennise Mills,186.47.130.201,1,1,25,7,236.99
332,Barney Dibbert,20.148.14.148,1,1,70,2,448.18
333,Roselee Mitchell,249.161.241.79,4,1,25,2,1699.9
334,Lenard Watsica,77.63.90.9,4,1,52,3,439.51
335,Chaya Zulauf,107.243.55.132,3,1,49,7,983.12
336,Mack Greenholt,,2,0,55,7,364.26
337,Marlon Kling,37.42.200.195,4,1,44,7,85.559
338,Frederic Lindgren,,2,0,39,7,379.64
339,Otha Wilkinson,219.68.40.68,3,1,56,7,275.58
340,Alberta O'Conner,193.188.181.112,4,1,44,5,193.54
341,Tyree Nader,,3,0,62,8,2312.6
342,Ayana Stehr,13.46.248.173,3,1,73,6,699.78
343,Mickie Kozey,241.122.179.106,1,1,43,5,1920.6
344,Alvaro Keebler,131.29.157.220,4,1,32,7,227.88
345,Harvey Cassin,,4,0,24,3,831.04
346,Courtney Runolfsdottir,105.30.181.104,4,1,38,6,889.92
347,Janyce Nitzsche,,3,0,37,7,1903.6
348,Marx Gleason,,2,0,69,4,368.09
349,Leigh Hettinger,,2,0,62,2,188.09
350,Queen Sawayn,,2,0,47,7,196.43
351,Mitch Morar,103.69.76.11,3,1,54,7,435.36
352,Leola Bartell,,2,0,38,6,262.73
353,Justina Baumbach,31.174.156.32,1,1,37,4,279.77
354,Yuriko O'Conner,,2,0,75,4,200.88
355,Racheal Adams,51.81.44.137,3,1,70,8,653.15
356,Aleta Miller,138.254.36.95,3,1,72,4,751.71
357,Wilford Mann,88.8.26.140,3,1,34,5,87.399
358,Herbert Krajcik,82.179.160.127,4,1,28,8,1729.7
359,Pamala Hills,121.137.240.137,3,1,57,5,501.67
360,Irving Morar,72.162.130.179,1,1,44,5,535.09
361,Tommye Bergnaum,,4,0,23,4,904.14
362,Lawrence Mraz,,4,0,35,4,2620.5
363,Alejandro Jacobs,128.90.181.197,1,1,24,4,804.09
364,Madelene Connelly,,2,0,70,5,361.94
365,Carolee Lind,,2,0,55,2,241.51
366,Elissa Lehner,,2,0,31,3,380.26
367,Porter Johns,158.5.98.52,1,1,27,7,969.84
368,Deon Lehner,99.223.158.10,1,1,71,6,839.85
369,Emil Johnson,,2,0,61,4,352.08
370,Ermelinda Jones,76.90.101.181,1,1,48,6,1797.7
371,Alverta Morar,,2,0,67,2,220.67
372,Floyd Lindgren,,4,0,59,3,2842.1
373,Boyd Brakus,,4,0,28,5,2735.1
374,Mitch McDermott,233.145.85.146,3,1,39,7,365.22
375,Tyson Robel,,2,0,79,3,26.422
376,Christine Kessler,249.55.182.29,4,1,48,7,320.03
377,Marilynn Ledner,197.23.86.185,3,1,29,3,93.167
378,Gregory Feest,122.35.190.95,4,1,25,2,1823.3
379,Shemeka Watsica,,4,0,31,6,2450.8
380,Garnett Becker,,4,0,19,2,1305.2
381,Donnie O'Reilly,,2,0,66,7,121.48
382,Rafaela Jakubowski,,2,0,78,3,131.34
383,Carlotta Weber,175.34.88.78,1,1,64,1,641.46
384,Elma Thiel,142.243.41.169,1,1,44,3,1863.3
385,Brady Lemke,160.56.205.233,1,1,21,5,1019.3
386,Mary D'Amore,,2,0,79,4,411.37
387,Orlando Bosco,,2,0,75,7,184.97
388,Melodi Greenfelder,253.212.35.106,4,1,49,6,1753.5
389,Arlie Jaskolski,9.235.119.35,1,1,62,6,182.61
390,Abram Bauch,,4,0,61,5,2108.2
391,Rickey Gutkowski,,2,0,85,1,110.29
392,Maura Carter,,2,0,42,8,227.53
393,Jene Greenholt,89.178.138.239,3,1,56,4,727.98
394,Estell Hintz,,2,0,84,4,339.27
395,Vena Huels,192.23.33.199,3,1,63,4,826.55
396,Dirk Hansen,221.255.151.172,1,1,45,5,197.11
397,Clay Spencer,,3,0,51,5,1221.3
398,Cherry Conn,201.114.16.21,4,1,46,5,1864.9
399,Kevin Mayert,46.67.77.199,1,1,34,1,87.062
400,Theodore Fisher,,4,0,59,7,1206.3
401,Jennie Volkman,,2,0,51,5,472.64
402,Beverly Gleason,176.39.214.213,4,1,31,5,1773.0
403,Sheldon Heller,,2,0,58,2,92.43
404,Jefferey Kulas,,2,0,64,6,445.28
405,Nanette Leffler,223.15.21.211,4,1,24,6,1026.6
406,Timmy Miller,43.114.67.218,1,1,41,5,743.13
407,Marcell Dooley,,3,0,40,6,1741.3
408,Paz Altenwerth,,2,0,72,3,348.88
409,Toshiko Morar,,3,0,59,1,489.21
410,Freeman Hilpert,111.227.182.86,4,1,27,3,958.93
411,Desmond Windler,,4,0,61,7,246.87
412,Cinda Ortiz,,2,0,63,5,363.12
413,Desmond Funk,250.24.235.197,4,1,40,6,870.3
414,Ryann Cole,,2,0,56,4,224.44
415,Ward Schuppe,,2,0,36,8,98.938
416,Renate Kuhn,232.10.144.119,4,1,39,2,174.35
417,Doreen Schiller,148.255.152.68,1,1,45,7,795.34
418,Fay Ziemann,,2,0,56,5,8.5569
419,Kurt Sipes,,3,0,40,8,970.75
420,Loralee Bergnaum,160.214.103.158,1,1,27,7,1288.0
421,Alonso Krajcik,,3,0,38,6,560.17
422,Nelson Zieme,,4,0,21,2,1502.5
423,Jamar Bosco,,3,0,61,2,264.01
424,Richard Koch,196.135.135.209,4,1,55,1,855.52
425,Susanne Kuhlman,,2,0,47,2,281.68
426,Sondra Orn,13.92.106.156,3,1,53,6,513.05
427,Marcelino Sauer,173.8.82.224,1,1,49,5,877.5
428,Jared McLaughlin,,2,0,68,8,335.24
429,Hunter Ledner,81.223.90.49,4,1,20,6,819.4
430,Ines Walker,177.63.21.248,4,1,30,3,95.838
431,Delbert Abshire,243.72.164.44,4,1,53,8,1443.2
432,Marylouise Ferry,,2,0,63,4,152.81
433,Vern Aufderhar,185.94.170.15,1,1,27,2,303.53
434,Olivia Graham,168.97.143.111,4,1,31,2,576.89
435,Clemmie Miller,,2,0,72,2,72.896
436,Katie Klein,,2,0,40,8,143.11
437,Claudia Marquardt,,4,0,31,5,2148.5
438,Lakenya Boyer,,4,0,61,5,1291.0
439,Jamel Luettgen,,2,0,51,8,84.882
440,Breanna Hammes,,2,0,55,8,120.97
441,Korey Schultz,103.243.116.99,3,1,52,8,72.622
442,Demetrice Swaniawski,226.207.149.25,3,1,60,3,177.1
443,Clifton Paucek,33.117.158.9,1,1,53,4,867.54
444,Shanda Osinski,51.212.11.179,1,1,22,6,570.5
445,Berneice Trantow,13.142.2.57,3,1,32,2,511.41
446,Marcos Okuneva,,4,0,52,4,1086.5
447,Burton Toy,,3,0,30,4,292.65
448,Steve Langosh,,4,0,56,1,590.41
449,Emmanuel Borer,161.83.85.138,1,1,53,4,1202.7
450,Albert Zulauf,,3,0,30,8,2607.3
451,Sarita Collins,8.50.254.180,4,1,47,3,660.83
452,Bill Wolf,231.197.90.51,1,1,35,4,775.46
453,Edgar Parker,241.64.163.130,4,1,39,7,939.55
454,Valene Bernhard,79.91.137.122,1,1,55,1,1104.1
455,Cassey Kreiger,,3,0,30,6,470.17
456,Roberto Lueilwitz,142.55.221.70,4,1,27,1,98.333
457,Nu Howe,,2,0,36,5,400.1
458,Mauricio Murray,,4,0,55,4,2050.6
459,Rosalie Watsica,85.135.158.195,1,1,59,2,169.9
460,Jarrod Wintheiser,,4,0,22,4,1934.2
461,Huey Kertzmann,,4,0,33,3,2886.3
462,Heath Stokes,,2,0,55,3,258.07
463,Toby Murazik,102.69.221.151,4,1,28,3,1044.1
464,Helaine Jerde,,4,0,20,8,1268.0
465,Philip Witting,,2,0,76,2,337.09
466,Neda Gibson,,4,0,19,7,1114.8
467,Yuk Hirthe,,2,0,50,7,140.3
468,Modesto Bradtke,,4,0,40,1,228.43
469,Barry Rogahn,124.62.152.53,4,1,27,7,1711.4
470,Melodee Schroeder,,2,0,76,4,162.03
471,Francene Graham,,2,0,69,2,215.96
472,Dulcie Brown,104.222.109.4,4,1,47,2,247.54
473,Pamelia Boyle,170.236.234.185,1,1,33,2,563.09
474,Kasandra Jacobs,,2,0,37,2,218.66
475,Rosenda Nicolas,,2,0,48,6,433.35
476,Clay Gorczany,111.238.219.235,3,1,45,5,231.26
477,Macie Emard,,4,0,62,1,1892.9
478,Tama Herman,,2,0,50,2,219.36
479,Ina Veum,,4,0,18,6,222.17
480,Gussie Wyman,,3,0,52,2,2974.6
481,Barrett Braun,,3,0,32,7,2125.3
482,Socorro Simonis,216.111.99.90,4,1,33,7,279.35
483,Devin Gibson,130.146.206.171,1,1,52,4,70.341
484,Earle Walter,,2,0,32,8,25.111
485,Randal Daugherty,,3,0,61,6,2888.9
486,Jerald Hirthe,147.118.140.67,4,1,33,2,1844.9
487,Nathan Russel,210.96.37.43,4,1,28,1,815.81
488,Belle Wintheiser,,2,0,44,5,315.05
489,Terry Haley,44.100.85.233,1,1,37,6,1203.2
490,Rickie Weissnat,220.48.112.230,1,1,24,8,952.21
491,Dimple Heller,,2,0,69,4,491.39
492,Royal McDermott,194.213.52.46,1,1,42,3,828.04
493,Maurice Prosacco,104.245.191.49,4,1,52,3,1020.2
494,Alphonse Feeney,127.169.237.212,3,1,25,6,550.59
495,Denny Legros,,4,0,41,8,2153.4
496,Fritz O'Reilly,106.109.21.94,1,1,39,7,178.99
497,Tuan McDermott,,3,0,44,4,535.29
498,Cathryn Ryan,110.18.208.46,1,1,35,6,645.39
